tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	location_end_lat	location_begin_lon	er_location_name	location_begin_lat	location_end_lon
African Plate	Drill Site	This study	Atlantic Ocean	-27	355	DSDP Site 522	-27	355
>>>>>>>>>>
tab 	er_samples
er_citation_names	er_site_name	er_sample_name	sample_core_depth	er_location_name	magic_method_codes
This study	16-2-064	16-2-064	61.63	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-066	16-2-066	61.66	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-069	16-2-069	61.68	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-073	16-2-073	61.72	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-076	16-2-076	61.75	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-079	16-2-079	61.78	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-082	16-2-082	61.81	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-085	16-2-085	61.84	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-087	16-2-087	61.86	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-090	16-2-090	61.9	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-093	16-2-093	61.92	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-096	16-2-096	61.95	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-098	16-2-098	61.98	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-101	16-2-101	62.01	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-104	16-2-104	62.04	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-107	16-2-107	62.06	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-110	16-2-110	62.09	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-112	16-2-112	62.12	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-116	16-2-116	62.15	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-122	16-2-122	62.22	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-127	16-2-127	62.26	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-130	16-2-130	62.29	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-132	16-2-132	62.32	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-135	16-2-135	62.35	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-138	16-2-138	62.38	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-141	16-2-141	62.41	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-144	16-2-144	62.44	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-147	16-2-147	62.47	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-150	16-2-150	62.5	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-002	16-3-002	62.52	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-004	16-3-004	62.54	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-008	16-3-008	62.58	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-011	16-3-011	62.6	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-014	16-3-014	62.64	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-017	16-3-017	62.66	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-020	16-3-020	62.69	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-023	16-3-023	62.72	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-026	16-3-026	62.75	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-028	16-3-028	62.78	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-031	16-3-031	62.81	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-034	16-3-034	62.84	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-037	16-3-037	62.87	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-040	16-3-040	62.9	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-043	16-3-043	62.93	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-045	16-3-045	62.95	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-048	16-3-048	62.98	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-051	16-3-051	63.01	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-054	16-3-054	63.04	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-057	16-3-057	63.07	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-060	16-3-060	63.09	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-063	16-3-063	63.13	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-066	16-3-066	63.16	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-069	16-3-069	63.18	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-072	16-3-072	63.22	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-075	16-3-075	63.25	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-078	16-3-078	63.28	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
