tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes	specimen_dec	specimen_description	specimen_inc	specimen_inferred_age	specimen_inferred_age_unit	specimen_int_rel
This study	DSDP Site 522	15-2-116	15-2-116	15-2-116	LP-PI-IRM:LP-PI-REL:LT-AF-Z	177.4	Declination rotated section mean=0/180;rel int is NRM/IRM	48	23.5791	Ma	2.358e-03
This study	DSDP Site 522	15-2-119	15-2-119	15-2-119	LP-PI-IRM:LP-PI-REL:LT-AF-Z	178.4	Declination rotated section mean=0/180;rel int is NRM/IRM	43.5	23.5844	Ma	2.518e-03
This study	DSDP Site 522	15-2-123	15-2-123	15-2-123	LP-PI-IRM:LP-PI-REL:LT-AF-Z	180.7	Declination rotated section mean=0/180;rel int is NRM/IRM	48.1	23.5897	Ma	2.036e-03
This study	DSDP Site 522	15-2-126	15-2-126	15-2-126	LP-PI-IRM:LP-PI-REL:LT-AF-Z	181.3	Declination rotated section mean=0/180;rel int is NRM/IRM	45.7	23.595	Ma	1.779e-03
This study	DSDP Site 522	15-2-128	15-2-128	15-2-128	LP-PI-IRM:LP-PI-REL:LT-AF-Z	182.6	Declination rotated section mean=0/180;rel int is NRM/IRM	44	23.6004	Ma	2.456e-03
This study	DSDP Site 522	15-2-132	15-2-132	15-2-132	LP-PI-IRM:LP-PI-REL:LT-AF-Z	182.2	Declination rotated section mean=0/180;rel int is NRM/IRM	47.9	23.6057	Ma	2.357e-03
This study	DSDP Site 522	15-2-135	15-2-135	15-2-135	LP-PI-IRM:LP-PI-REL:LT-AF-Z	185.2	Declination rotated section mean=0/180;rel int is NRM/IRM	47.8	23.611	Ma	3.138e-03
This study	DSDP Site 522	15-2-138	15-2-138	15-2-138	LP-PI-IRM:LP-PI-REL:LT-AF-Z	188.0	Declination rotated section mean=0/180;rel int is NRM/IRM	50.5	23.6164	Ma	3.543e-03
This study	DSDP Site 522	15-2-141	15-2-141	15-2-141	LP-PI-IRM:LP-PI-REL:LT-AF-Z	179.0	Declination rotated section mean=0/180;rel int is NRM/IRM	50	23.6217	Ma	3.008e-03
This study	DSDP Site 522	15-2-143	15-2-143	15-2-143	LP-PI-IRM:LP-PI-REL:LT-AF-Z	184.8	Declination rotated section mean=0/180;rel int is NRM/IRM	55.4	23.627	Ma	3.722e-03
This study	DSDP Site 522	15-2-147	15-2-147	15-2-147	LP-PI-IRM:LP-PI-REL:LT-AF-Z	192.4	Declination rotated section mean=0/180;rel int is NRM/IRM	47.1	23.6323	Ma	4.322e-03
This study	DSDP Site 522	15-2-150	15-2-150	15-2-150	LP-PI-IRM:LP-PI-REL:LT-AF-Z	192.7	Declination rotated section mean=0/180;rel int is NRM/IRM	44	23.6377	Ma	3.161e-03
This study	DSDP Site 522	15-3-001	15-3-001	15-3-001	LP-PI-IRM:LP-PI-REL:LT-AF-Z	201.3	Declination rotated section mean=0/180;rel int is NRM/IRM	51.8	23.6394	Ma	3.191e-03
This study	DSDP Site 522	15-3-004	15-3-004	15-3-004	LP-PI-IRM:LP-PI-REL:LT-AF-Z	215.7	Declination rotated section mean=0/180;rel int is NRM/IRM	55.9	23.6465	Ma	3.113e-03
This study	DSDP Site 522	15-3-007	15-3-007	15-3-007	LP-PI-IRM:LP-PI-REL:LT-AF-Z	222.7	Declination rotated section mean=0/180;rel int is NRM/IRM	50.7	23.6519	Ma	3.065e-03
This study	DSDP Site 522	15-3-010	15-3-010	15-3-010	LP-PI-IRM:LP-PI-REL:LT-AF-Z	216.7	Declination rotated section mean=0/180;rel int is NRM/IRM	53.1	23.6572	Ma	2.626e-03
This study	DSDP Site 522	15-3-013	15-3-013	15-3-013	LP-PI-IRM:LP-PI-REL:LT-AF-Z	216.1	Declination rotated section mean=0/180;rel int is NRM/IRM	45.9	23.6625	Ma	2.923e-03
This study	DSDP Site 522	15-3-015	15-3-015	15-3-015	LP-PI-IRM:LP-PI-REL:LT-AF-Z	222.3	Declination rotated section mean=0/180;rel int is NRM/IRM	41.8	23.6661	Ma	1.560e-03
This study	DSDP Site 522	15-3-019	15-3-019	15-3-019	LP-PI-IRM:LP-PI-REL:LT-AF-Z	224.3	Declination rotated section mean=0/180;rel int is NRM/IRM	50.5	23.6732	Ma	1.988e-03
This study	DSDP Site 522	15-3-022	15-3-022	15-3-022	LP-PI-IRM:LP-PI-REL:LT-AF-Z	220.4	Declination rotated section mean=0/180;rel int is NRM/IRM	46	23.6785	Ma	1.626e-03
This study	DSDP Site 522	15-3-025	15-3-025	15-3-025	LP-PI-IRM:LP-PI-REL:LT-AF-Z	220.9	Declination rotated section mean=0/180;rel int is NRM/IRM	40	23.6821	Ma	2.009e-03
This study	DSDP Site 522	15-3-028	15-3-028	15-3-028	LP-PI-IRM:LP-PI-REL:LT-AF-Z	216.1	Declination rotated section mean=0/180;rel int is NRM/IRM	46	23.6892	Ma	2.515e-03
This study	DSDP Site 522	15-3-031	15-3-031	15-3-031	LP-PI-IRM:LP-PI-REL:LT-AF-Z	218.8	Declination rotated section mean=0/180;rel int is NRM/IRM	54	23.6945	Ma	2.595e-03
This study	DSDP Site 522	15-3-035	15-3-035	15-3-035	LP-PI-IRM:LP-PI-REL:LT-AF-Z	217.4	Declination rotated section mean=0/180;rel int is NRM/IRM	48.5	23.6998	Ma	2.506e-03
This study	DSDP Site 522	15-3-038	15-3-038	15-3-038	LP-PI-IRM:LP-PI-REL:LT-AF-Z	202.1	Declination rotated section mean=0/180;rel int is NRM/IRM	34	23.7051	Ma	1.045e-03
This study	DSDP Site 522	15-3-041	15-3-041	15-3-041	LP-PI-IRM:LP-PI-REL:LT-AF-Z	223.4	Declination rotated section mean=0/180;rel int is NRM/IRM	37.8	23.7105	Ma	1.225e-03
This study	DSDP Site 522	15-3-044	15-3-044	15-3-044	LP-PI-IRM:LP-PI-REL:LT-AF-Z	237.3	Declination rotated section mean=0/180;rel int is NRM/IRM	38.1	23.7158	Ma	6.189e-04
This study	DSDP Site 522	15-3-047	15-3-047	15-3-047	LP-PI-IRM:LP-PI-REL:LT-AF-Z	227.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-3.9	23.7211	Ma	3.670e-04
This study	DSDP Site 522	15-3-051	15-3-051	15-3-051	LP-PI-IRM:LP-PI-REL:LT-AF-Z	297.3	Declination rotated section mean=0/180;rel int is NRM/IRM	-68.5	23.73	Ma	7.481e-04
This study	DSDP Site 522	15-3-054	15-3-054	15-3-054	LP-PI-IRM:LP-PI-REL:LT-AF-Z	346.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-66.5	23.7339	Ma	1.260e-03
This study	DSDP Site 522	15-3-057	15-3-057	15-3-057	LP-PI-IRM:LP-PI-REL:LT-AF-Z	3.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-63.4	23.7398	Ma	1.766e-03
This study	DSDP Site 522	15-3-061	15-3-061	15-3-061	LP-PI-IRM:LP-PI-REL:LT-AF-Z	16.0	Declination rotated section mean=0/180;rel int is NRM/IRM	-70.1	23.7495	Ma	2.176e-03
This study	DSDP Site 522	15-3-064	15-3-064	15-3-064	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0	Declination rotated section mean=0/180;rel int is NRM/IRM	-54.9	23.7534	Ma	2.118e-03
This study	DSDP Site 522	15-3-067	15-3-067	15-3-067	LP-PI-IRM:LP-PI-REL:LT-AF-Z	7.9	Declination rotated section mean=0/180;rel int is NRM/IRM	-56.7	23.7593	Ma	2.630e-03
This study	DSDP Site 522	15-3-071	15-3-071	15-3-071	LP-PI-IRM:LP-PI-REL:LT-AF-Z	343.7	Declination rotated section mean=0/180;rel int is NRM/IRM	-60.3	23.7671	Ma	1.665e-03
This study	DSDP Site 522	15-3-075	15-3-075	15-3-075	LP-PI-IRM:LP-PI-REL:LT-AF-Z	347.9	Declination rotated section mean=0/180;rel int is NRM/IRM	-62.2	23.7749	Ma	2.046e-03
This study	DSDP Site 522	15-3-078	15-3-078	15-3-078	LP-PI-IRM:LP-PI-REL:LT-AF-Z	9.3	Declination rotated section mean=0/180;rel int is NRM/IRM	-64.4	23.7807	Ma	2.074e-03
This study	DSDP Site 522	15-3-080	15-3-080	15-3-080	LP-PI-IRM:LP-PI-REL:LT-AF-Z	16.7	Declination rotated section mean=0/180;rel int is NRM/IRM	-70.2	23.7866	Ma	2.525e-03
This study	DSDP Site 522	15-3-083	15-3-083	15-3-083	LP-PI-IRM:LP-PI-REL:LT-AF-Z	359.2	Declination rotated section mean=0/180;rel int is NRM/IRM	-60.5	23.7924	Ma	2.356e-03
This study	DSDP Site 522	15-3-086	15-3-086	15-3-086	LP-PI-IRM:LP-PI-REL:LT-AF-Z	318.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-60.7	23.7983	Ma	1.035e-03
This study	DSDP Site 522	15-3-089	15-3-089	15-3-089	LP-PI-IRM:LP-PI-REL:LT-AF-Z	2.8	Declination rotated section mean=0/180;rel int is NRM/IRM	-62.9	23.8041	Ma	2.129e-04
This study	DSDP Site 522	15-3-092	15-3-092	15-3-092	LP-PI-IRM:LP-PI-REL:LT-AF-Z	214.1	Declination rotated section mean=0/180;rel int is NRM/IRM	38	23.81	Ma	9.131e-04
This study	DSDP Site 522	15-3-096	15-3-096	15-3-096	LP-PI-IRM:LP-PI-REL:LT-AF-Z	227.2	Declination rotated section mean=0/180;rel int is NRM/IRM	57.3	23.8162	Ma	1.267e-03
This study	DSDP Site 522	15-3-098	15-3-098	15-3-098	LP-PI-IRM:LP-PI-REL:LT-AF-Z	207.6	Declination rotated section mean=0/180;rel int is NRM/IRM	51.4	23.8203	Ma	2.013e-03
This study	DSDP Site 522	15-3-101	15-3-101	15-3-101	LP-PI-IRM:LP-PI-REL:LT-AF-Z	208.6	Declination rotated section mean=0/180;rel int is NRM/IRM	47.9	23.8285	Ma	1.754e-03
