tab 	specimens
analysts	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	experiments	instrument_codes	location	method_codes	result_quality	sample	site	specimen	volume
	0.3333:0.3348:0.3320:0.0001:0.0000:-0.0005	15	0.0006	SI	-1	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3332999945:0.3348000050:0.3319999874:0.0001000000:0.0000000000:-0.0005000000	15	0.0006	SI	0	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3325:0.3347:0.3328:0.0002:0.0006:0.0003	15	0.0007	SI	-1	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3325000107:0.3346999884:0.3328000009:0.0002000000:0.0006000000:0.0003000000	15	0.0007	SI	0	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3328:0.3349:0.3323:-0.0001:0.0005:0.0001	15	0.0009	SI	-1	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3328000009:0.3348999918:0.3323000073:-0.0001000000:0.0005000000:0.0001000000	15	0.0009	SI	0	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
							This study			U1356A			318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	7.000e-06
	0.3459:0.3346:0.3195:-0.0065:-0.0042:-0.0048	15	0.0002	SI	-1	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
	0.3458999991:0.3346000016:0.3194999993:-0.0065000001:-0.0041999999:-0.0048000002	15	0.0002	SI	0	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
	0.3462:0.3345:0.3194:-0.0066:-0.0043:-0.0050	15	0.0003	SI	-1	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
