tab 	measurements
analysts	citations	description	experiment	instrument_codes	method_codes	quality	specimen	standard	susc_chi_volume
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-1-w-98_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-1-w-98	u	316.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-1-w-98_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-1-w-98	u	316.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-1-w-98_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-1-w-98	u	317.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-2-w-4_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-2-w-4	u	322.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-2-w-4_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-2-w-4	u	322.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-2-w-4_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-2-w-4	u	357.6E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-2-w-4_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-2-w-4	u	322.6E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-2-w-4_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-2-w-4	u	322.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-1-w-81_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-1-w-81	u	364.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-1-w-81_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-1-w-81	u	361.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-1-w-81_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-1-w-81	u	359.8E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-1-w-81_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-1-w-81	u	350.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-1-w-81_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-1-w-81	u	355.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-2-w-42_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-2-w-42	u	308.6E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-2-w-42_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-2-w-42	u	336.8E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-2-w-42_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-2-w-42	u	314.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-2-w-42_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-2-w-42	u	302.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-2-w-42_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-2-w-42	u	307.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-3-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-3-w-40	u	463.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-3-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-3-w-40	u	455.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-3-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-3-w-40	u	458.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-3-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-3-w-40	u	454.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-3-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-3-w-40	u	465.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-4-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-4-w-40	u	831.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-4-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-4-w-40	u	828.1E-06
