tab	measurements
analysts	citations	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Elliot Hurst	This study	181.73	-39.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.2329999999999999e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_6	LT-PTRM-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	34	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	6	673.0
Elliot Hurst	This study	181.92	-26.63	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.045e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_7	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	35	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	7	793.0
Elliot Hurst	This study	184.23	-47.44	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.364e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_8	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	36	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	8	793.0
Elliot Hurst	This study	182.88	-50.95	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.4069999999999998e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_9	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	37	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	9	813.0
Elliot Hurst	This study	181.62	-27.49	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	9.808e-07	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_10	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	38	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	10	813.0
Elliot Hurst	This study	181.03	-45.69	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.2390000000000001e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_11	LT-PTRM-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	39	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	11	773.0
Elliot Hurst	This study	180.58	-25.23	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	8.554000000000001e-07	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_12	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	40	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	12	833.0
Elliot Hurst	This study	184.77	-57.97	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.466e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_13	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	41	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	13	833.0
Elliot Hurst	This study	186.46	-66.11	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.59e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_14	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	42	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	14	853.0
Elliot Hurst	This study	180.32	-26.31	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	6.667e-07	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_15	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	43	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	15	853.0
Elliot Hurst	This study	185.21	-56.84	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.144e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_16	LT-PTRM-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	44	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	16	813.0
