tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	external_database_ids	instrument_codes	magn_moment	magn_volume	meas_field_ac	meas_n_orient	meas_temp	measurement	method_codes	quality	software_packages	specimen	standard	susc_chi_volume	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
	This study			306	23.5	XXX-UTESTA-001H_1A-10:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	3.104e-07				2.730e+02	5	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-10	u		2015-04-10T06:46:00Z	2.000e-02	0	0	0	2.730e+02
	This study			13.8	76.4	XXX-UTESTA-001H_1A-100:LP-DIR-AF	LIMS	IODP-SRM	8.500e-07				2.730e+02	1	LT-NO:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-100	u		2015-04-10T06:45:00Z	0.000e+00	0	0	0	2.730e+02
	This study			9.2	65.1	XXX-UTESTA-001H_1A-100:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	5.241e-07				2.730e+02	2	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-100	u		2015-04-10T06:45:00Z	5.000e-03	0	0	0	2.730e+02
	This study			8.4	42.6	XXX-UTESTA-001H_1A-100:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	2.583e-07				2.730e+02	3	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-100	u		2015-04-10T06:45:00Z	1.000e-02	0	0	0	2.730e+02
	This study			8.3	35.1	XXX-UTESTA-001H_1A-100:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	1.979e-07				2.730e+02	4	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-100	u		2015-04-10T06:45:00Z	1.500e-02	0	0	0	2.730e+02
	This study			8.7	34	XXX-UTESTA-001H_1A-100:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	1.680e-07				2.730e+02	5	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-100	u		2015-04-10T06:46:00Z	2.000e-02	0	0	0	2.730e+02
	This study			7	80	XXX-UTESTA-001H_1A-105:LP-DIR-AF	LIMS	IODP-SRM	6.049e-07				2.730e+02	1	LT-NO:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-105	u		2015-04-10T06:45:00Z	0.000e+00	0	0	0	2.730e+02
	This study			6.3	68.5	XXX-UTESTA-001H_1A-105:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	3.941e-07				2.730e+02	2	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-105	u		2015-04-10T06:45:00Z	5.000e-03	0	0	0	2.730e+02
	This study			8.2	44.2	XXX-UTESTA-001H_1A-105:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	2.047e-07				2.730e+02	3	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-105	u		2015-04-10T06:45:00Z	1.000e-02	0	0	0	2.730e+02
	This study			8.9	36	XXX-UTESTA-001H_1A-105:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	1.578e-07				2.730e+02	4	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-105	u		2015-04-10T06:45:00Z	1.500e-02	0	0	0	2.730e+02
