tab 	measurements
experiment	instrument_codes	magn_mass	magn_r2_det	meas_field_dc	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_dc_field
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1306		0.5878	300.0	IRM-VSM3-LP-HYS-218845-85	LP-HYS	g	12495	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1298		0.5828	300.0	IRM-VSM3-LP-HYS-218845-86	LP-HYS	g	12496	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.129		0.5779	300.0	IRM-VSM3-LP-HYS-218845-87	LP-HYS	g	12497	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1282		0.573	300.0	IRM-VSM3-LP-HYS-218845-88	LP-HYS	g	12498	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1273		0.568	300.0	IRM-VSM3-LP-HYS-218845-89	LP-HYS	g	12499	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1265		0.5629	300.0	IRM-VSM3-LP-HYS-218845-90	LP-HYS	g	125	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1256		0.5579	300.0	IRM-VSM3-LP-HYS-218845-91	LP-HYS	g	12501	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1248		0.553	300.0	IRM-VSM3-LP-HYS-218845-92	LP-HYS	g	12502	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1239		0.5479	300.0	IRM-VSM3-LP-HYS-218845-93	LP-HYS	g	12503	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1231		0.5429	300.0	IRM-VSM3-LP-HYS-218845-94	LP-HYS	g	12504	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1222		0.5379	300.0	IRM-VSM3-LP-HYS-218845-95	LP-HYS	g	12505	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1214		0.5329	300.0	IRM-VSM3-LP-HYS-218845-96	LP-HYS	g	12506	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1205		0.5279	300.0	IRM-VSM3-LP-HYS-218845-97	LP-HYS	g	12507	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1197		0.5228	300.0	IRM-VSM3-LP-HYS-218845-98	LP-HYS	g	12508	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1189		0.5178	300.0	IRM-VSM3-LP-HYS-218845-99	LP-HYS	g	12509	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.118		0.5129	300.0	IRM-VSM3-LP-HYS-218845-100	LP-HYS	g	1251	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1172		0.508	300.0	IRM-VSM3-LP-HYS-218845-101	LP-HYS	g	12511	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1164		0.503	300.0	IRM-VSM3-LP-HYS-218845-102	LP-HYS	g	12512	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1155		0.4979	300.0	IRM-VSM3-LP-HYS-218845-103	LP-HYS	g	12513	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1146		0.4929	300.0	IRM-VSM3-LP-HYS-218845-104	LP-HYS	g	12514	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1138		0.488	300.0	IRM-VSM3-LP-HYS-218845-105	LP-HYS	g	12515	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.113		0.4829	300.0	IRM-VSM3-LP-HYS-218845-106	LP-HYS	g	12516	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1121		0.4779	300.0	IRM-VSM3-LP-HYS-218845-107	LP-HYS	g	12517	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1113		0.4729	300.0	IRM-VSM3-LP-HYS-218845-108	LP-HYS	g	12518	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1105		0.4679	300.0	IRM-VSM3-LP-HYS-218845-109	LP-HYS	g	12519	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1096		0.4629	300.0	IRM-VSM3-LP-HYS-218845-110	LP-HYS	g	1252	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1088		0.4578	300.0	IRM-VSM3-LP-HYS-218845-111	LP-HYS	g	12521	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1079		0.4528	300.0	IRM-VSM3-LP-HYS-218845-112	LP-HYS	g	12522	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1071		0.4479	300.0	IRM-VSM3-LP-HYS-218845-113	LP-HYS	g	12523	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1062		0.4429	300.0	IRM-VSM3-LP-HYS-218845-114	LP-HYS	g	12524	NED1-5c	u	2020:01:06:10:14:00.00	
